"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1532","Broken Link","chromium","Tue Jan 20 10:51:16 UTC 2026","passed","Tue Jan 20 10:51:17 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","1458","Browser Windows : New Window Message","chromium","Tue Jan 20 10:51:05 UTC 2026","passed","Tue Jan 20 10:51:06 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","1594","Upload and Download Functionality","chromium","Tue Jan 20 10:51:38 UTC 2026","passed","Tue Jan 20 10:51:39 UTC 2026","Elements Suite: Upload and Download Functionality","Elements_demoQa/upload_download.spec.js","",""
"","1614","Tabs","chromium","Tue Jan 20 10:52:46 UTC 2026","passed","Tue Jan 20 10:52:48 UTC 2026","Test Suite : Tabs","widgets_/tabs.spec.js","",""
"","1563","Browser Windows : New Tab","chromium","Tue Jan 20 10:51:02 UTC 2026","passed","Tue Jan 20 10:51:04 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","1501","Selectable","chromium","Tue Jan 20 10:52:22 UTC 2026","passed","Tue Jan 20 10:52:24 UTC 2026","Test Suite : Selectable","interactions/selectable.spec.js","",""
"","1531","Menu","chromium","Tue Jan 20 10:52:35 UTC 2026","passed","Tue Jan 20 10:52:36 UTC 2026","Test suite : Menu","widgets_/menu.spec.js","",""
"","3565","Container Restricted Draggable","chromium","Tue Jan 20 10:51:52 UTC 2026","passed","Tue Jan 20 10:51:55 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","2397","Expand checkbox tree","chromium","Tue Jan 20 10:51:20 UTC 2026","passed","Tue Jan 20 10:51:22 UTC 2026","Elements Suite: Check_Box","Elements_demoQa/check_box.spec.js","",""
"","1533","Prompt Box Alert","chromium","Tue Jan 20 10:51:00 UTC 2026","passed","Tue Jan 20 10:51:02 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","1713","Resizeable","chromium","Tue Jan 20 10:52:19 UTC 2026","passed","Tue Jan 20 10:52:21 UTC 2026","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","6376","Accept Droppable","chromium","Tue Jan 20 10:52:03 UTC 2026","passed","Tue Jan 20 10:52:10 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","3438","Axis Restricted Draggable","chromium","Tue Jan 20 10:51:48 UTC 2026","passed","Tue Jan 20 10:51:52 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","4570","Revert Droppable","chromium","Tue Jan 20 10:52:14 UTC 2026","passed","Tue Jan 20 10:52:19 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","2443","Modal Dialogs","chromium","Tue Jan 20 10:51:08 UTC 2026","passed","Tue Jan 20 10:51:11 UTC 2026","Test suite : Modal Dialogs","alerts_frame_windows/modal_dialogs.spec.js","",""
"","4946","Links Functionality","chromium","Tue Jan 20 10:51:29 UTC 2026","passed","Tue Jan 20 10:51:34 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/links.spec.js","",""
"","2056","Text Box Test","chromium","Tue Jan 20 10:51:36 UTC 2026","passed","Tue Jan 20 10:51:38 UTC 2026","Elements Suite: Text_Box","Elements_demoQa/text_box.spec.js","",""
"","1484","Confirm Alert","chromium","Tue Jan 20 10:50:59 UTC 2026","passed","Tue Jan 20 10:51:00 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","1697","Simple Alert","chromium","Tue Jan 20 10:50:54 UTC 2026","passed","Tue Jan 20 10:50:56 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","1961","Select Menu","chromium","Tue Jan 20 10:52:43 UTC 2026","passed","Tue Jan 20 10:52:45 UTC 2026","Test Suite : Select Menu","widgets_/select_menu.spec.js","",""
"","1365","Valid Image - Broken Image Tests","chromium","Tue Jan 20 10:51:12 UTC 2026","passed","Tue Jan 20 10:51:14 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","3469","Simple Draggable","chromium","Tue Jan 20 10:51:45 UTC 2026","passed","Tue Jan 20 10:51:48 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","1471","Multiple Color","chromium","Tue Jan 20 10:52:29 UTC 2026","passed","Tue Jan 20 10:52:31 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","6517","Test case","chromium","Tue Jan 20 10:52:36 UTC 2026","passed","Tue Jan 20 10:52:43 UTC 2026","Test suite","widgets_/progress_bar.spec.js","",""
"","4519","Simple Droppable","chromium","Tue Jan 20 10:51:59 UTC 2026","passed","Tue Jan 20 10:52:03 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","2064","test","chromium","Tue Jan 20 10:52:27 UTC 2026","passed","Tue Jan 20 10:52:29 UTC 2026","Test Suite : Accordian","widgets_/accordian.spec.js","",""
"","1406","Nested Frames","chromium","Tue Jan 20 10:51:11 UTC 2026","passed","Tue Jan 20 10:51:12 UTC 2026","Test suite : Nested Frames","alerts_frame_windows/nested_frames.spec.js","",""
"","1852","Frames","chromium","Tue Jan 20 10:51:06 UTC 2026","passed","Tue Jan 20 10:51:08 UTC 2026","Test suite : Frames","alerts_frame_windows/frames.spec.js","",""
"","5027","Tool Tips","chromium","Tue Jan 20 10:52:56 UTC 2026","passed","Tue Jan 20 10:53:01 UTC 2026","Test Suite : Tool Tips","widgets_/tool_tips.spec.js","",""
"","2032","Student Registration Form","chromium","Tue Jan 20 10:51:43 UTC 2026","passed","Tue Jan 20 10:51:45 UTC 2026","Elements Suite => Form","Form_Application/form_application.spec.js","",""
"","1413","Single Color","chromium","Tue Jan 20 10:52:31 UTC 2026","passed","Tue Jan 20 10:52:32 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","6634","Dynamic Properties Functionality","chromium","Tue Jan 20 10:51:22 UTC 2026","passed","Tue Jan 20 10:51:29 UTC 2026","Elements Suite: Dynamic Properties Functionality","Elements_demoQa/dynamic_properties.spec.js","",""
"","1463","Slider","chromium","Tue Jan 20 10:52:45 UTC 2026","passed","Tue Jan 20 10:52:46 UTC 2026","Test suite : Slider","widgets_/slider.spec.js","",""
