"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1381","Single Color","chromium","Thu Jan 15 06:22:03 UTC 2026","passed","Thu Jan 15 06:22:04 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","7394","Dynamic Properties Functionality","chromium","Thu Jan 15 06:20:57 UTC 2026","passed","Thu Jan 15 06:21:04 UTC 2026","Elements Suite: Dynamic Properties Functionality","Elements_demoQa/dynamic_properties.spec.js","",""
"","2980","Web Tables","chromium","Thu Jan 15 06:21:13 UTC 2026","passed","Thu Jan 15 06:21:16 UTC 2026","Elements Suite: Web Tables","Elements_demoQa/web_tables.spec.js","",""
"","2043","Modal Dialogs","chromium","Thu Jan 15 06:20:44 UTC 2026","passed","Thu Jan 15 06:20:47 UTC 2026","Test suite : Modal Dialogs","alerts_frame_windows/modal_dialogs.spec.js","",""
"","1765","Sortable Grid","chromium","Thu Jan 15 06:21:56 UTC 2026","passed","Thu Jan 15 06:21:57 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","1833","Frames","chromium","Thu Jan 15 06:20:43 UTC 2026","passed","Thu Jan 15 06:20:44 UTC 2026","Test suite : Frames","alerts_frame_windows/frames.spec.js","",""
"","1652","All Button Functionalities Combined","chromium","Thu Jan 15 06:20:53 UTC 2026","passed","Thu Jan 15 06:20:55 UTC 2026","Elements Suite: Buttons Functionality","Elements_demoQa/buttons.spec.js","",""
"","1453","Broken Link","chromium","Thu Jan 15 06:20:52 UTC 2026","passed","Thu Jan 15 06:20:53 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","1372","Valid Image - Broken Image Tests","chromium","Thu Jan 15 06:20:48 UTC 2026","passed","Thu Jan 15 06:20:50 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","1585","Browser Windows : New Tab","chromium","Thu Jan 15 06:20:38 UTC 2026","passed","Thu Jan 15 06:20:40 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
