"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8341","Web Tables","chromium","Tue Jan 20 05:50:35 UTC 2026","passed","Tue Jan 20 05:50:43 UTC 2026","Elements Suite: Web Tables","Elements_demoQa/web_tables.spec.js","",""
"","5087","Prevent Propogation Droppable","chromium","Tue Jan 20 05:51:13 UTC 2026","passed","Tue Jan 20 05:51:18 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","7338","Simple Alert","chromium","Tue Jan 20 05:49:16 UTC 2026","passed","Tue Jan 20 05:49:23 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","2328","Broken Link","chromium","Tue Jan 20 05:50:01 UTC 2026","passed","Tue Jan 20 05:50:03 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","2264","Valid Image - Broken Image Tests","chromium","Tue Jan 20 05:49:55 UTC 2026","passed","Tue Jan 20 05:49:57 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","5266","Prompt Box Alert","chromium","Tue Jan 20 05:49:34 UTC 2026","passed","Tue Jan 20 05:49:39 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","2023","Nested Frames","chromium","Tue Jan 20 05:49:50 UTC 2026","passed","Tue Jan 20 05:49:52 UTC 2026","Test suite : Nested Frames","alerts_frame_windows/nested_frames.spec.js","",""
"","6222","Accept Droppable","chromium","Tue Jan 20 05:51:07 UTC 2026","passed","Tue Jan 20 05:51:13 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","3322","Valid Link","chromium","Tue Jan 20 05:49:58 UTC 2026","passed","Tue Jan 20 05:50:01 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","2208","Sortable Grid","chromium","Tue Jan 20 05:51:35 UTC 2026","passed","Tue Jan 20 05:51:37 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","2336","Student Registration Form","chromium","Tue Jan 20 05:50:43 UTC 2026","passed","Tue Jan 20 05:50:45 UTC 2026","Elements Suite => Form","Form_Application/form_application.spec.js","",""
