"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2007","Test case","chromium","Fri Jan 16 11:13:24 UTC 2026","passed","Fri Jan 16 11:13:26 UTC 2026","Test suite : Date Picker","widgets_/date_picker.spec.js","",""
"","1475","Radio Button Test","chromium","Fri Jan 16 11:12:23 UTC 2026","passed","Fri Jan 16 11:12:24 UTC 2026","Elements Suite: Radio Button Tests","Elements_demoQa/radio_button.spec.js","",""
"","3656","Axis Restricted Draggable","chromium","Fri Jan 16 11:12:37 UTC 2026","passed","Fri Jan 16 11:12:40 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","1521","Nested Frames","chromium","Fri Jan 16 11:11:55 UTC 2026","passed","Fri Jan 16 11:11:57 UTC 2026","Test suite : Nested Frames","alerts_frame_windows/nested_frames.spec.js","",""
"","2509","Modal Dialogs","chromium","Fri Jan 16 11:11:52 UTC 2026","passed","Fri Jan 16 11:11:55 UTC 2026","Test suite : Modal Dialogs","alerts_frame_windows/modal_dialogs.spec.js","",""
"","1710","Browser Windows : New Tab","chromium","Fri Jan 16 11:11:46 UTC 2026","passed","Fri Jan 16 11:11:47 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","3774","Tool Tips","chromium","Fri Jan 16 11:13:41 UTC 2026","passed","Fri Jan 16 11:13:44 UTC 2026","Test Suite : Tool Tips","widgets_/tool_tips.spec.js","",""
"","4412","Prompt Box Alert","chromium","Fri Jan 16 11:11:41 UTC 2026","passed","Fri Jan 16 11:11:46 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","2599","test","chromium","Fri Jan 16 11:13:17 UTC 2026","passed","Fri Jan 16 11:13:19 UTC 2026","Test Suite : Accordian","widgets_/accordian.spec.js","",""
"","4704","Revert Droppable","chromium","Fri Jan 16 11:13:04 UTC 2026","passed","Fri Jan 16 11:13:09 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","1581","Upload and Download Functionality","chromium","Fri Jan 16 11:12:26 UTC 2026","passed","Fri Jan 16 11:12:28 UTC 2026","Elements Suite: Upload and Download Functionality","Elements_demoQa/upload_download.spec.js","",""
"","1624","Frames","chromium","Fri Jan 16 11:11:51 UTC 2026","passed","Fri Jan 16 11:11:52 UTC 2026","Test suite : Frames","alerts_frame_windows/frames.spec.js","",""
"","1608","All Button Functionalities Combined","chromium","Fri Jan 16 11:12:08 UTC 2026","passed","Fri Jan 16 11:12:09 UTC 2026","Elements Suite: Buttons Functionality","Elements_demoQa/buttons.spec.js","",""
"","1866","Browser Windows : New Window","chromium","Fri Jan 16 11:11:47 UTC 2026","passed","Fri Jan 16 11:11:49 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","1544","Text Box Test","chromium","Fri Jan 16 11:12:24 UTC 2026","passed","Fri Jan 16 11:12:26 UTC 2026","Elements Suite: Text_Box","Elements_demoQa/text_box.spec.js","",""
"","2586","Single Color","chromium","Fri Jan 16 11:13:21 UTC 2026","passed","Fri Jan 16 11:13:24 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","4792","Links Functionality","chromium","Fri Jan 16 11:12:18 UTC 2026","passed","Fri Jan 16 11:12:23 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/links.spec.js","",""
"","1866","Expand checkbox tree","chromium","Fri Jan 16 11:12:09 UTC 2026","passed","Fri Jan 16 11:12:11 UTC 2026","Elements Suite: Check_Box","Elements_demoQa/check_box.spec.js","",""
"","1725","Broken Link","chromium","Fri Jan 16 11:12:06 UTC 2026","passed","Fri Jan 16 11:12:08 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","3530","Web Tables","chromium","Fri Jan 16 11:12:28 UTC 2026","passed","Fri Jan 16 11:12:31 UTC 2026","Elements Suite: Web Tables","Elements_demoQa/web_tables.spec.js","",""
"","4670","Simple Droppable","chromium","Fri Jan 16 11:12:48 UTC 2026","passed","Fri Jan 16 11:12:52 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","3670","Container Restricted Draggable","chromium","Fri Jan 16 11:12:40 UTC 2026","passed","Fri Jan 16 11:12:44 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","6950","Dynamic Properties Functionality","chromium","Fri Jan 16 11:12:11 UTC 2026","passed","Fri Jan 16 11:12:18 UTC 2026","Elements Suite: Dynamic Properties Functionality","Elements_demoQa/dynamic_properties.spec.js","",""
"","3639","Cursor Style Draggable","chromium","Fri Jan 16 11:12:44 UTC 2026","passed","Fri Jan 16 11:12:48 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","1563","Selectable","chromium","Fri Jan 16 11:13:12 UTC 2026","passed","Fri Jan 16 11:13:14 UTC 2026","Test Suite : Selectable","interactions/selectable.spec.js","",""
"","2132","Simple Alert","chromium","Fri Jan 16 11:11:36 UTC 2026","passed","Fri Jan 16 11:11:38 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","1546","Tabs","chromium","Fri Jan 16 11:13:39 UTC 2026","passed","Fri Jan 16 11:13:41 UTC 2026","Test Suite : Tabs","widgets_/tabs.spec.js","",""
"","3597","Simple Draggable","chromium","Fri Jan 16 11:12:33 UTC 2026","passed","Fri Jan 16 11:12:37 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","1585","Menu","chromium","Fri Jan 16 11:13:26 UTC 2026","passed","Fri Jan 16 11:13:27 UTC 2026","Test suite : Menu","widgets_/menu.spec.js","",""
"","3369","Select Menu","chromium","Fri Jan 16 11:13:34 UTC 2026","passed","Fri Jan 16 11:13:38 UTC 2026","Test Suite : Select Menu","widgets_/select_menu.spec.js","",""
"","1642","Sortable Grid","chromium","Fri Jan 16 11:13:14 UTC 2026","passed","Fri Jan 16 11:13:15 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","1477","Timer Alert","chromium","Fri Jan 16 11:11:38 UTC 2026","passed","Fri Jan 16 11:11:40 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","7007","Test case","chromium","Fri Jan 16 11:13:27 UTC 2026","passed","Fri Jan 16 11:13:34 UTC 2026","Test suite","widgets_/progress_bar.spec.js","",""
"","2586","Valid Link","chromium","Fri Jan 16 11:12:03 UTC 2026","passed","Fri Jan 16 11:12:06 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","1598","Sortable List","chromium","Fri Jan 16 11:13:15 UTC 2026","passed","Fri Jan 16 11:13:17 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","4715","Prevent Propogation Droppable","chromium","Fri Jan 16 11:12:59 UTC 2026","passed","Fri Jan 16 11:13:04 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","1532","Resizeable","chromium","Fri Jan 16 11:13:09 UTC 2026","passed","Fri Jan 16 11:13:10 UTC 2026","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","1517","Slider","chromium","Fri Jan 16 11:13:38 UTC 2026","passed","Fri Jan 16 11:13:39 UTC 2026","Test suite : Slider","widgets_/slider.spec.js","",""
