"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1877","Browser Windows : New Window Message","chromium","Tue Jan 20 10:52:25 UTC 2026","passed","Tue Jan 20 10:52:27 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","8501","Test case","chromium","Tue Jan 20 10:54:39 UTC 2026","passed","Tue Jan 20 10:54:48 UTC 2026","Test suite","widgets_/progress_bar.spec.js","",""
"","3983","Container Restricted Draggable","chromium","Tue Jan 20 10:53:29 UTC 2026","passed","Tue Jan 20 10:53:33 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","1912","Sortable Grid","chromium","Tue Jan 20 10:54:22 UTC 2026","passed","Tue Jan 20 10:54:24 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","4922","test","chromium","Tue Jan 20 10:54:26 UTC 2026","passed","Tue Jan 20 10:54:31 UTC 2026","Test Suite : Accordian","widgets_/accordian.spec.js","",""
"","3961","Axis Restricted Draggable","chromium","Tue Jan 20 10:53:26 UTC 2026","passed","Tue Jan 20 10:53:29 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","7093","Prompt Box Alert","chromium","Tue Jan 20 10:52:14 UTC 2026","passed","Tue Jan 20 10:52:21 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","2305","Selectable","chromium","Tue Jan 20 10:54:19 UTC 2026","passed","Tue Jan 20 10:54:22 UTC 2026","Test Suite : Selectable","interactions/selectable.spec.js","",""
"","1948","All Button Functionalities Combined","chromium","Tue Jan 20 10:52:44 UTC 2026","passed","Tue Jan 20 10:52:46 UTC 2026","Elements Suite: Buttons Functionality","Elements_demoQa/buttons.spec.js","",""
"","2410","Expand checkbox tree","chromium","Tue Jan 20 10:52:46 UTC 2026","passed","Tue Jan 20 10:52:48 UTC 2026","Elements Suite: Check_Box","Elements_demoQa/check_box.spec.js","",""
