"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3262","Modal Dialogs","chromium","Tue Jan 20 06:15:16 UTC 2026","passed","Tue Jan 20 06:15:20 UTC 2026","Test suite : Modal Dialogs","alerts_frame_windows/modal_dialogs.spec.js","",""
"","2313","Timer Alert","chromium","Tue Jan 20 06:15:01 UTC 2026","passed","Tue Jan 20 06:15:03 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","3433","Selectable","chromium","Tue Jan 20 06:17:11 UTC 2026","passed","Tue Jan 20 06:17:15 UTC 2026","Test Suite : Selectable","interactions/selectable.spec.js","",""
"","4112","Axis Restricted Draggable","chromium","Tue Jan 20 06:16:10 UTC 2026","passed","Tue Jan 20 06:16:14 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","2069","Radio Button Test","chromium","Tue Jan 20 06:15:54 UTC 2026","passed","Tue Jan 20 06:15:56 UTC 2026","Elements Suite: Radio Button Tests","Elements_demoQa/radio_button.spec.js","",""
"","4776","Sortable List","chromium","Tue Jan 20 06:17:19 UTC 2026","passed","Tue Jan 20 06:17:24 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","2662","Tabs","chromium","Tue Jan 20 06:17:56 UTC 2026","passed","Tue Jan 20 06:17:59 UTC 2026","Test Suite : Tabs","widgets_/tabs.spec.js","",""
"","7416","Multiple Color","chromium","Tue Jan 20 06:17:28 UTC 2026","passed","Tue Jan 20 06:17:36 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","2227","Browser Windows : New Window Message","chromium","Tue Jan 20 06:15:12 UTC 2026","passed","Tue Jan 20 06:15:14 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","4348","Sortable Grid","chromium","Tue Jan 20 06:17:15 UTC 2026","passed","Tue Jan 20 06:17:19 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","7425","Test case","chromium","Tue Jan 20 06:17:44 UTC 2026","passed","Tue Jan 20 06:17:51 UTC 2026","Test suite","widgets_/progress_bar.spec.js","",""
"","2151","Browser Windows : New Window","chromium","Tue Jan 20 06:15:10 UTC 2026","passed","Tue Jan 20 06:15:12 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","3372","Resizeable","chromium","Tue Jan 20 06:17:04 UTC 2026","passed","Tue Jan 20 06:17:08 UTC 2026","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","4051","Tool Tips","chromium","Tue Jan 20 06:17:59 UTC 2026","passed","Tue Jan 20 06:18:03 UTC 2026","Test Suite : Tool Tips","widgets_/tool_tips.spec.js","",""
"","2289","Nested Frames","chromium","Tue Jan 20 06:15:20 UTC 2026","passed","Tue Jan 20 06:15:22 UTC 2026","Test suite : Nested Frames","alerts_frame_windows/nested_frames.spec.js","",""
"","4111","Cursor Style Draggable","chromium","Tue Jan 20 06:16:18 UTC 2026","passed","Tue Jan 20 06:16:22 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","3148","Web Tables","chromium","Tue Jan 20 06:16:00 UTC 2026","passed","Tue Jan 20 06:16:03 UTC 2026","Elements Suite: Web Tables","Elements_demoQa/web_tables.spec.js","",""
"","4419","test","chromium","Tue Jan 20 06:17:24 UTC 2026","passed","Tue Jan 20 06:17:28 UTC 2026","Test Suite : Accordian","widgets_/accordian.spec.js","",""
"","2866","Valid Link","chromium","Tue Jan 20 06:15:28 UTC 2026","passed","Tue Jan 20 06:15:30 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","2117","All Button Functionalities Combined","chromium","Tue Jan 20 06:15:33 UTC 2026","passed","Tue Jan 20 06:15:35 UTC 2026","Elements Suite: Buttons Functionality","Elements_demoQa/buttons.spec.js","",""
"","2849","Test case","chromium","Tue Jan 20 06:17:38 UTC 2026","passed","Tue Jan 20 06:17:41 UTC 2026","Test suite : Date Picker","widgets_/date_picker.spec.js","",""
"","8318","Links Functionality","chromium","Tue Jan 20 06:15:45 UTC 2026","passed","Tue Jan 20 06:15:54 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/links.spec.js","",""
"","2059","Prompt Box Alert","chromium","Tue Jan 20 06:15:05 UTC 2026","passed","Tue Jan 20 06:15:07 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","5019","Simple Droppable","chromium","Tue Jan 20 06:16:22 UTC 2026","passed","Tue Jan 20 06:16:27 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","2492","Valid Image - Broken Image Tests","chromium","Tue Jan 20 06:15:25 UTC 2026","passed","Tue Jan 20 06:15:27 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","2173","Browser Windows : New Tab","chromium","Tue Jan 20 06:15:07 UTC 2026","passed","Tue Jan 20 06:15:10 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","7266","Dynamic Properties Functionality","chromium","Tue Jan 20 06:15:38 UTC 2026","passed","Tue Jan 20 06:15:45 UTC 2026","Elements Suite: Dynamic Properties Functionality","Elements_demoQa/dynamic_properties.spec.js","",""
"","4129","Container Restricted Draggable","chromium","Tue Jan 20 06:16:14 UTC 2026","passed","Tue Jan 20 06:16:18 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","6294","Accept Droppable","chromium","Tue Jan 20 06:16:27 UTC 2026","passed","Tue Jan 20 06:16:33 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","2418","Simple Alert","chromium","Tue Jan 20 06:14:57 UTC 2026","passed","Tue Jan 20 06:15:00 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","2132","Text Box Test","chromium","Tue Jan 20 06:15:56 UTC 2026","passed","Tue Jan 20 06:15:58 UTC 2026","Elements Suite: Text_Box","Elements_demoQa/text_box.spec.js","",""
"","5394","Prevent Propogation Droppable","chromium","Tue Jan 20 06:16:54 UTC 2026","passed","Tue Jan 20 06:16:59 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","2613","Broken Link","chromium","Tue Jan 20 06:15:30 UTC 2026","passed","Tue Jan 20 06:15:33 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","5167","Revert Droppable","chromium","Tue Jan 20 06:16:59 UTC 2026","passed","Tue Jan 20 06:17:04 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","2018","Upload and Download Functionality","chromium","Tue Jan 20 06:15:58 UTC 2026","passed","Tue Jan 20 06:16:00 UTC 2026","Elements Suite: Upload and Download Functionality","Elements_demoQa/upload_download.spec.js","",""
"","2426","Student Registration Form","chromium","Tue Jan 20 06:16:03 UTC 2026","passed","Tue Jan 20 06:16:05 UTC 2026","Elements Suite => Form","Form_Application/form_application.spec.js","",""
"","2315","Frames","chromium","Tue Jan 20 06:15:14 UTC 2026","passed","Tue Jan 20 06:15:16 UTC 2026","Test suite : Frames","alerts_frame_windows/frames.spec.js","",""
"","2459","Select Menu","chromium","Tue Jan 20 06:17:52 UTC 2026","passed","Tue Jan 20 06:17:54 UTC 2026","Test Suite : Select Menu","widgets_/select_menu.spec.js","",""
"","2227","Confirm Alert","chromium","Tue Jan 20 06:15:03 UTC 2026","passed","Tue Jan 20 06:15:05 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","2743","Expand checkbox tree","chromium","Tue Jan 20 06:15:35 UTC 2026","passed","Tue Jan 20 06:15:38 UTC 2026","Elements Suite: Check_Box","Elements_demoQa/check_box.spec.js","",""
"","3227","Menu","chromium","Tue Jan 20 06:17:41 UTC 2026","passed","Tue Jan 20 06:17:44 UTC 2026","Test suite : Menu","widgets_/menu.spec.js","",""
"","4226","Simple Draggable","chromium","Tue Jan 20 06:16:05 UTC 2026","passed","Tue Jan 20 06:16:10 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","3416","Resizeable Free","chromium","Tue Jan 20 06:17:08 UTC 2026","passed","Tue Jan 20 06:17:11 UTC 2026","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","2375","Single Color","chromium","Tue Jan 20 06:17:36 UTC 2026","passed","Tue Jan 20 06:17:38 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","2086","Slider","chromium","Tue Jan 20 06:17:54 UTC 2026","passed","Tue Jan 20 06:17:56 UTC 2026","Test suite : Slider","widgets_/slider.spec.js","",""
