"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8120","Expand checkbox tree","chromium","Fri Jan 16 11:21:54 UTC 2026","passed","Fri Jan 16 11:22:02 UTC 2026","Elements Suite: Check_Box","Elements_demoQa/check_box.spec.js","",""
"","4381","Student Registration Form","chromium","Fri Jan 16 11:22:53 UTC 2026","passed","Fri Jan 16 11:22:58 UTC 2026","Elements Suite => Form","Form_Application/form_application.spec.js","",""
"","7181","Selectable","chromium","Fri Jan 16 11:24:27 UTC 2026","passed","Fri Jan 16 11:24:34 UTC 2026","Test Suite : Selectable","interactions/selectable.spec.js","",""
"","7330","Multiple Color","chromium","Fri Jan 16 11:24:52 UTC 2026","passed","Fri Jan 16 11:24:59 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","12833","Dynamic Properties Functionality","chromium","Fri Jan 16 11:22:02 UTC 2026","passed","Fri Jan 16 11:22:15 UTC 2026","Elements Suite: Dynamic Properties Functionality","Elements_demoQa/dynamic_properties.spec.js","",""
"","7206","Tabs","chromium","Fri Jan 16 11:25:49 UTC 2026","passed","Fri Jan 16 11:25:57 UTC 2026","Test Suite : Tabs","widgets_/tabs.spec.js","",""
"","3189","Valid Link","chromium","Fri Jan 16 11:21:41 UTC 2026","passed","Fri Jan 16 11:21:44 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","3798","Frames","chromium","Fri Jan 16 11:21:12 UTC 2026","passed","Fri Jan 16 11:21:16 UTC 2026","Test suite : Frames","alerts_frame_windows/frames.spec.js","",""
"","7222","Timer Alert","chromium","Fri Jan 16 11:20:28 UTC 2026","passed","Fri Jan 16 11:20:35 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","9182","Simple Draggable","chromium","Fri Jan 16 11:22:58 UTC 2026","passed","Fri Jan 16 11:23:07 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","3621","Simple Alert","chromium","Fri Jan 16 11:20:23 UTC 2026","passed","Fri Jan 16 11:20:27 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","7370","Menu","chromium","Fri Jan 16 11:25:15 UTC 2026","passed","Fri Jan 16 11:25:22 UTC 2026","Test suite : Menu","widgets_/menu.spec.js","",""
"","10505","Tool Tips","chromium","Fri Jan 16 11:26:10 UTC 2026","passed","Fri Jan 16 11:26:20 UTC 2026","Test Suite : Tool Tips","widgets_/tool_tips.spec.js","",""
"","8146","Test case","chromium","Fri Jan 16 11:25:06 UTC 2026","passed","Fri Jan 16 11:25:15 UTC 2026","Test suite : Date Picker","widgets_/date_picker.spec.js","",""
"","7356","Confirm Alert","chromium","Fri Jan 16 11:20:35 UTC 2026","passed","Fri Jan 16 11:20:43 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","7554","All Button Functionalities Combined","chromium","Fri Jan 16 11:21:47 UTC 2026","passed","Fri Jan 16 11:21:54 UTC 2026","Elements Suite: Buttons Functionality","Elements_demoQa/buttons.spec.js","",""
"","7359","Prompt Box Alert","chromium","Fri Jan 16 11:20:43 UTC 2026","passed","Fri Jan 16 11:20:50 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","10438","Prevent Propogation Droppable","chromium","Fri Jan 16 11:23:51 UTC 2026","passed","Fri Jan 16 11:24:02 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","11268","Accept Droppable","chromium","Fri Jan 16 11:23:40 UTC 2026","passed","Fri Jan 16 11:23:51 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","3691","Web Tables","chromium","Fri Jan 16 11:22:50 UTC 2026","passed","Fri Jan 16 11:22:53 UTC 2026","Elements Suite: Web Tables","Elements_demoQa/web_tables.spec.js","",""
"","9122","Axis Restricted Draggable","chromium","Fri Jan 16 11:23:07 UTC 2026","passed","Fri Jan 16 11:23:16 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","7678","Valid Image - Broken Image Tests","chromium","Fri Jan 16 11:21:33 UTC 2026","passed","Fri Jan 16 11:21:40 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","7253","Radio Button Test","chromium","Fri Jan 16 11:22:28 UTC 2026","passed","Fri Jan 16 11:22:35 UTC 2026","Elements Suite: Radio Button Tests","Elements_demoQa/radio_button.spec.js","",""
"","4277","Container Restricted Draggable","chromium","Fri Jan 16 11:23:16 UTC 2026","passed","Fri Jan 16 11:23:20 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","7220","Browser Windows : New Window Message","chromium","Fri Jan 16 11:21:05 UTC 2026","passed","Fri Jan 16 11:21:12 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","7721","Select Menu","chromium","Fri Jan 16 11:25:34 UTC 2026","passed","Fri Jan 16 11:25:42 UTC 2026","Test Suite : Select Menu","widgets_/select_menu.spec.js","",""
"","7379","Browser Windows : New Tab","chromium","Fri Jan 16 11:20:50 UTC 2026","passed","Fri Jan 16 11:20:57 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","7217","Resizeable Free","chromium","Fri Jan 16 11:24:19 UTC 2026","passed","Fri Jan 16 11:24:27 UTC 2026","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","10308","Simple Droppable","chromium","Fri Jan 16 11:23:30 UTC 2026","passed","Fri Jan 16 11:23:40 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","12674","Links Functionality","chromium","Fri Jan 16 11:22:15 UTC 2026","passed","Fri Jan 16 11:22:28 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/links.spec.js","",""
"","4601","Sortable List","chromium","Fri Jan 16 11:24:39 UTC 2026","passed","Fri Jan 16 11:24:43 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","7253","Upload and Download Functionality","chromium","Fri Jan 16 11:22:42 UTC 2026","passed","Fri Jan 16 11:22:50 UTC 2026","Elements Suite: Upload and Download Functionality","Elements_demoQa/upload_download.spec.js","",""
"","7230","Resizeable","chromium","Fri Jan 16 11:24:12 UTC 2026","passed","Fri Jan 16 11:24:19 UTC 2026","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","9234","Cursor Style Draggable","chromium","Fri Jan 16 11:23:20 UTC 2026","passed","Fri Jan 16 11:23:30 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","4716","Modal Dialogs","chromium","Fri Jan 16 11:21:16 UTC 2026","passed","Fri Jan 16 11:21:21 UTC 2026","Test suite : Modal Dialogs","alerts_frame_windows/modal_dialogs.spec.js","",""
"","7302","Browser Windows : New Window","chromium","Fri Jan 16 11:20:57 UTC 2026","passed","Fri Jan 16 11:21:05 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","7530","Nested Frames","chromium","Fri Jan 16 11:21:21 UTC 2026","passed","Fri Jan 16 11:21:28 UTC 2026","Test suite : Nested Frames","alerts_frame_windows/nested_frames.spec.js","",""
"","7192","Single Color","chromium","Fri Jan 16 11:24:59 UTC 2026","passed","Fri Jan 16 11:25:06 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","12177","Test case","chromium","Fri Jan 16 11:25:22 UTC 2026","passed","Fri Jan 16 11:25:34 UTC 2026","Test suite","widgets_/progress_bar.spec.js","",""
"","10374","Revert Droppable","chromium","Fri Jan 16 11:24:02 UTC 2026","passed","Fri Jan 16 11:24:12 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","7273","Text Box Test","chromium","Fri Jan 16 11:22:35 UTC 2026","passed","Fri Jan 16 11:22:42 UTC 2026","Elements Suite: Text_Box","Elements_demoQa/text_box.spec.js","",""
"","2842","Broken Link","chromium","Fri Jan 16 11:21:44 UTC 2026","passed","Fri Jan 16 11:21:47 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","4603","Sortable Grid","chromium","Fri Jan 16 11:24:34 UTC 2026","passed","Fri Jan 16 11:24:39 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","8736","test","chromium","Fri Jan 16 11:24:43 UTC 2026","passed","Fri Jan 16 11:24:52 UTC 2026","Test Suite : Accordian","widgets_/accordian.spec.js","",""
"","7322","Slider","chromium","Fri Jan 16 11:25:42 UTC 2026","passed","Fri Jan 16 11:25:49 UTC 2026","Test suite : Slider","widgets_/slider.spec.js","",""
